時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
2025-03-02 05:14,開倉,-1,84153.00245,-0.1187717575013272743900773323,84153.00245000000000000000000,-0.1187717575013272743900773323,,,,
2025-03-02 07:44,平倉,,,,,,84255.889469068890,-0.1187717575013272743900773323,-22.22729215096352281783619237,0E-28
2025-03-02 07:44,開倉,-1,84171.675686491110,-0.1183627834154436559494160739,84171.67568649111000000000000,-0.1183627834154436559494160739,,,,
2025-03-02 10:14,平倉,,,,,,84112.73535,-0.1183627834154436559494160739,-2.979475194181958101824170938,0E-28
2025-03-12 00:29,開倉,-1,81025.36705,-0.1227992958671384565781838734,81025.36705000000000000000000,-0.1227992958671384565781838734,,,,
2025-03-12 02:59,平倉,,,,,,82728.561609000000,-0.1227992958671384565781838734,-219.3101016836277890271819872,0E-28
2025-06-19 16:44,開倉,-1,104815.998808847320,-0.09274073425679212881787360983,104815.9988088473200000000000,-0.09274073425679212881787360983,,,,
2025-06-19 19:14,平倉,,,,,,104853.20040,-0.09274073425679212881787360983,-13.17426567329109519871198646,0E-29
