時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
2023-01-01 04:14,開倉,1.0,16589.1945916698,0.6031034204049889,16589.1945916698,0.6031034204049889,,,,
2023-01-01 04:29,開倉,1.0,16588.861920217198,0.6025120979106405,16589.028337526768,1.2056155183156294,,,,
2023-01-01 04:44,開倉,1.0,16588.277301263806,0.6019304975837834,16588.778235107526,1.8075460158994128,,,,
2023-01-01 04:59,開倉,1.0,16585.266043887554,0.6014374446033529,16587.901365943857,2.408983460502766,,,,
2023-01-01 05:14,開倉,1.0,16584.442365744297,0.6008655473733651,16587.210834942856,3.009849007876131,,,,
2023-01-01 05:29,開倉,1.0,16579.812431203933,0.6004320060152876,16585.980393771883,3.6102810138914183,,,,
2023-01-01 05:44,開倉,1.0,16576.22922328533,0.5999609365857616,16584.590848599248,4.2102419504771795,,,,
2023-01-01 05:59,開倉,1.0,16563.85022399889,0.5998086080803199,16582.004512962896,4.810050558557499,,,,
2023-01-01 06:14,開倉,1.0,16579.84126424325,0.5986305708001844,16581.76508549715,5.408681129357683,,,,
2023-01-01 06:29,開倉,1.0,16559.0796487233,0.5987814472596695,16579.503961355313,6.007462576617353,,,,
2023-01-01 06:44,開倉,1.0,16550.23309323609,0.5985021113742925,16576.852013123895,6.605964687991646,,,,
2023-01-01 06:59,開倉,1.0,16532.222215127502,0.5985546902980222,16573.144149557273,7.204519378289668,,,,
2023-01-01 07:14,開倉,1.0,16513.07835881292,0.5986490553876886,16568.53597927416,7.803168433677357,,,,
2023-01-01 07:29,開倉,1.0,16534.779807704715,0.5972651825042178,16566.135938169824,8.400433616181575,,,,
2023-01-01 07:44,開倉,1.0,16557.11934898326,0.5958625703823288,16565.538731508623,8.996296186563903,,,,
2023-01-01 07:59,開倉,1.0,16549.789145843326,0.5955300642189947,16564.5608831284,9.591826250782898,,,,
2023-01-01 08:59,開倉,1.0,16551.09849199923,0.5948871715465364,16563.774701810733,10.186713422329435,,,,
2023-01-01 09:44,開倉,1.0,16557.442184330263,0.5940642944244382,16563.425754580043,10.780777716753873,,,,
2023-01-01 11:14,開倉,1.0,16566.465210868904,0.5931466960712549,16563.58426130034,11.373924412825128,,,,
2023-01-01 11:29,開倉,1.0,16566.774453142767,0.5925421919573846,16563.742229673924,11.966466604782513,,,,
2023-01-01 11:44,開倉,1.0,16568.38285095978,0.5918918892229834,16563.96094823506,12.558358494005496,,,,
2023-01-01 11:59,開倉,1.0,16566.8085808581,0.591355889967317,16564.08900914003,13.149714383972814,,,,
2023-01-01 12:14,開倉,1.0,16559.08200398034,0.5910398928894017,16563.87363960982,13.740754276862216,,,,
2023-01-01 12:29,開倉,1.0,16549.259831108222,0.5907989953730528,16563.271205022495,14.331553272235269,,,,
2023-01-01 12:44,開倉,1.0,16549.653323436058,0.590193867918013,16562.73258242483,14.92174714015328,,,,
2023-01-01 12:59,開倉,1.0,16548.921792723493,0.5896294418583666,16562.207596896937,15.511376582011648,,,,
2023-01-01 13:14,開倉,1.0,16544.594877176907,0.5891935693791311,16561.5630668523,16.10057015139078,,,,
2023-01-01 13:29,開倉,1.0,16545.83062402155,0.5885601205528693,16561.00824534284,16.68913027194365,,,,
2023-01-01 13:44,開倉,1.0,16541.56926902886,0.5881227363211273,16560.346536914098,17.27725300826478,,,,
2023-01-01 13:59,開倉,1.0,16552.6496061087,0.587141024283026,16560.093565342344,17.864394032547803,,,,
2023-01-01 14:14,開倉,1.0,16558.780904876025,0.5863364036935561,16560.051850971213,18.450730436241358,,,,
2023-01-01 14:59,開倉,1.0,16556.62986974595,0.585825874653682,16559.946543839418,19.03655631089504,,,,
2023-01-01 15:14,開倉,1.0,16544.332810338972,0.5856747524372863,16559.480512761045,19.622231063332325,,,,
2023-01-01 15:29,開倉,1.0,16533.31261002249,0.5854787729741134,16558.72234908437,20.20770983630644,,,,
2023-01-01 15:44,開倉,1.0,16536.397459366333,0.5847838902241806,16558.09446692508,20.79249372653062,,,,
2023-01-01 15:59,開倉,1.0,16535.0788665294,0.5842454009814579,16557.46542997974,21.376739127512078,,,,
2023-01-01 18:29,平倉,,,,,,16564.900416604945,-21.376739127512078,-513.0393243825299,0.0
2023-01-01 21:14,開倉,1.0,16576.70596489701,0.5512302977374447,16576.70596489701,0.5512302977374447,,,,
2023-01-01 21:29,開倉,1.0,16571.80821790734,0.5508415432491145,16574.257955239293,1.102071840986559,,,,
2023-01-01 21:44,開倉,1.0,16563.17190664971,0.5505773567975751,16570.564656420665,1.6526491977841342,,,,
2023-01-01 21:59,開倉,1.0,16566.04656448032,0.5499310596541587,16569.436598053675,2.202580257438293,,,,
2023-01-01 22:14,開倉,1.0,16570.696129581058,0.549226703071625,16569.687984999826,2.751806960509918,,,,
2023-01-01 22:29,開倉,1.0,16572.340099385176,0.5486227731864854,16570.128839817622,3.3004297336964035,,,,
2023-01-01 22:44,開倉,1.0,16563.489599096552,0.5483667327472228,16569.182897683797,3.848796466443626,,,,
2023-01-01 22:59,開倉,1.0,16556.78391493005,0.5480399643350562,16567.637436947847,4.3968364307786825,,,,
2023-01-01 23:14,開倉,1.0,16561.25828628769,0.5473437339958019,16566.9312353076,4.944180164774484,,,,
2023-01-01 23:29,開倉,1.0,16554.57713104953,0.5470167945154241,16565.700555992968,5.491196959289908,,,,
2023-01-01 23:44,開倉,1.0,16558.69059860545,0.5463337516563239,16565.066227738287,6.037530710946232,,,,
2023-01-01 23:59,開倉,1.0,16567.53621219195,0.545495742194831,16565.27090046934,6.583026453141063,,,,
2023-01-02 02:29,平倉,,,,,,16608.424316068795,-6.583026453141063,-393.4137730522806,0.0
2023-01-02 04:44,開倉,1.0,16620.175087366395,0.5195413344238244,16620.175087366395,0.5195413344238244,,,,
2023-01-02 05:14,開倉,1.0,16615.64666667759,0.5191629872083452,16617.911701758792,1.0387043216321696,,,,
2023-01-02 07:44,平倉,,,,,,16602.9655252196,-1.0387043216321696,-1.7209138798179904,0.0
2023-01-13 05:29,開倉,1.0,18805.070102803336,0.45816773851735426,18805.070102803336,0.45816773851735426,,,,
2023-01-13 05:59,開倉,1.0,18829.41,0.4571176822471778,18817.226089493673,0.915285420764532,,,,
2023-01-13 08:29,平倉,,,,,,18781.063286072334,-0.915285420764532,15.90925333332735,0.0
2023-01-14 12:44,開倉,1.0,20914.56897512833,0.4118928731259476,20914.56897512833,0.4118928731259476,,,,
2023-01-14 12:59,開倉,1.0,20905.73137940877,0.41165472185520297,20910.15145508459,0.8235475949811506,,,,
2023-01-14 13:14,開倉,1.0,20813.068884505363,0.41307376811513113,20877.722560966948,1.2366213630962817,,,,
2023-01-14 13:29,開倉,1.0,20827.51104568722,0.41237434179560023,20865.165863273553,1.648995704891882,,,,
2023-01-14 13:44,開倉,1.0,20885.452773773068,0.4108188712076232,20869.211977796873,2.0598145760995052,,,,
2023-01-14 13:59,開倉,1.0,20852.153499266475,0.4110632364796687,20866.374074053343,2.470877812579174,,,,
2023-01-14 14:29,開倉,1.0,20909.7422797167,0.4095209663967944,20872.539952758678,2.880398778975968,,,,
2023-01-14 15:44,開倉,1.0,20888.68297782795,0.4095236935341037,20874.549407785787,3.2899224725100717,,,,
2023-01-14 15:59,開倉,1.0,20910.892889424045,0.40867943628814596,20878.565204553033,3.6986019087982176,,,,
2023-01-14 17:14,開倉,1.0,20854.422,0.4093760926813184,20876.159239686338,4.107978001479536,,,,
2023-01-14 17:29,開倉,1.0,20596.0929,0.41409602609837437,20850.512963751724,4.52207402757791,,,,
2023-01-14 17:59,開倉,1.0,20552.6712,0.414555709840762,20825.501567240368,4.936629737418672,,,,
2023-01-14 19:14,開倉,1.0,20714.41404712806,0.41090724032852133,20816.965550282606,5.347536977747193,,,,
2023-01-14 19:29,開倉,1.0,20722.076195837835,0.4103443435013131,20810.203113253694,5.757881321248506,,,,
2023-01-14 19:44,開倉,1.0,20707.06690461267,0.41023093001776423,20803.343694834282,6.168112251266271,,,,
2023-01-14 22:14,平倉,,,,,,20902.49004439118,-6.168112251266271,-740.4747182950043,0.0
2023-01-21 10:59,開倉,1.0,22555.0719,0.3433966190066233,22555.0719,0.3433966190066233,,,,
2023-01-21 11:14,開倉,1.0,22513.6512,0.34368420097987773,22534.35288155351,0.6870808199865011,,,,
2023-01-21 11:29,開倉,1.0,22560.234719309596,0.34263139834173223,22542.964928787853,1.0297122183282332,,,,
2023-01-21 11:59,開倉,1.0,22552.2705,0.34240947309955183,22545.28711038118,1.3721216914277852,,,,
2023-01-21 13:59,開倉,1.0,22581.785249999997,0.34161980559038985,22552.56270438569,1.713741497018175,,,,
2023-01-21 16:29,平倉,,,,,,22657.52400491294,-1.713741497018175,-218.7056754014447,0.0
2023-01-21 21:44,開倉,1.0,22927.672593733245,0.326585779078025,22927.672593733245,0.326585779078025,,,,
2023-01-21 21:59,開倉,1.0,22938.6636,0.32610270376552697,22933.164029471587,0.652688482843552,,,,
2023-01-22 00:29,平倉,,,,,,23099.504366361845,-0.652688482843552,-123.64520257990665,0.0
2023-02-16 12:59,開倉,1.0,24656.642297518723,0.2980604174107442,24656.642297518723,0.2980604174107442,,,,
2023-02-16 13:14,開倉,1.0,24645.649988560952,0.29789501412516134,24651.147668459296,0.5959554315359055,,,,
2023-02-16 13:44,開倉,1.0,24680.934868934324,0.2971715132856815,24661.058809863138,0.8931269448215869,,,,
2023-02-16 14:14,開倉,1.0,24674.968665063196,0.296945974917537,24664.529585010467,1.190072919739124,,,,
2023-02-16 14:44,開倉,1.0,24694.2505517985,0.2964172496249796,24670.456167919034,1.4864901693641035,,,,
2023-02-16 14:59,開倉,1.0,24598.43082189651,0.297274180671474,24658.452746208088,1.7837643500355775,,,,
2023-02-16 15:14,開倉,1.0,24625.40722107537,0.29665142867256267,24653.740706267716,2.08041577870814,,,,
2023-02-16 15:29,開倉,1.0,24594.621691062897,0.2967255813336061,24646.361202276326,2.377141360041746,,,,
