時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
2025-03-03 22:59,開倉,1.0,89527.47750139667,0.11175339995303583,89527.47750139667,0.11175339995303583,,,,
2025-03-03 23:59,開倉,1.0,90090.09560128237,0.11094438218531238,89807.76461022523,0.22269778213834823,,,,
2025-03-04 00:14,開倉,1.0,89894.94714439666,0.11107398499237991,89836.77758389704,0.33377176713072815,,,,
2025-03-04 00:29,開倉,1.0,90155.19560359667,0.11064254212659648,89916.05176212356,0.4444143092573246,,,,
2025-03-04 01:44,開倉,1.0,90750.41995593111,0.1098068752168204,90081.36367496435,0.554221184474145,,,,
2025-03-04 02:29,平倉,,,,,,88846.52059073873,-0.554221184474145,635.1355729010239,0.0
2025-04-10 07:59,開倉,1.0,82638.31255146222,0.128154881811234,82638.31255146222,0.128154881811234,,,,
2025-04-10 08:14,開倉,1.0,82501.53014999999,0.12823892308963133,82569.89893332543,0.25639380490086533,,,,
2025-04-10 08:29,開倉,1.0,82439.09894999999,0.12820763832898951,82526.29650475731,0.38460144322985484,,,,
2025-04-10 10:59,平倉,,,,,,82125.41675,-0.38460144322985484,122.59337843338645,0.0
2025-10-11 10:44,開倉,-1.0,113097.52295000001,-0.09434977803295934,113097.52295000001,-0.09434977803295934,,,,
2025-10-11 13:14,平倉,,,,,,112672.23113534688,0.09434977803295934,-50.75678830985558,0.0
