時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
2025-01-27 20:59,開倉,-1.0,99949.85802658222,-0.10000014204464176,99949.85802658222,-0.10000014204464176,,,,
2025-01-27 23:29,平倉,,,,,,100450.2,0.10000014204464176,39.98923414426102,0.0
2025-02-28 22:29,開倉,-1.0,81692.91586418221,-0.12271540476892909,81692.91586418221,-0.12271540476892909,,,,
2025-02-28 22:44,開倉,-1.0,81843.19126666334,-0.12236765350032373,81767.94695164413,-0.2450830582692528,,,,
2025-02-28 22:59,開倉,-1.0,81751.15113198222,-0.12238297785356879,81762.35317637335,-0.3674660361228216,,,,
2025-02-28 23:14,開倉,-1.0,82868.3451,-0.1206123925798695,82035.66239111818,-0.4880784287026911,,,,
2025-03-01 01:44,平倉,,,,,,83747.84428453444,0.4880784287026911,794.8035319461727,0.0
2025-03-03 22:59,開倉,1.0,89527.47750139667,0.12052333662242529,89527.47750139667,0.12052333662242529,,,,
2025-03-03 23:59,開倉,1.0,90090.09560128237,0.1196508305439182,89807.76461022523,0.2401741671663435,,,,
2025-03-04 00:14,開倉,1.0,89894.94714439666,0.11979060403403105,89836.77758389704,0.3599647712003745,,,,
2025-03-04 00:29,開倉,1.0,90155.19560359667,0.1193253033472688,89916.05176212358,0.47929007454764333,,,,
2025-03-04 00:44,開倉,1.0,89882.45925913444,0.11956763285465599,89909.34469963706,0.5988577074022994,,,,
2025-03-04 00:59,開倉,1.0,89973.75128112384,0.11932680731315665,89920.04589352428,0.718184514715456,,,,
2025-03-04 01:14,開倉,1.0,90097.83911746556,0.11904324164487964,89945.32585057261,0.8372277563603356,,,,
2025-03-04 01:29,開倉,1.0,90223.55794546555,0.11875842824348835,89979.88953654269,0.955986184603824,,,,
2025-03-04 01:44,開倉,1.0,90750.41995593111,0.1179508345195608,90064.5171304995,1.0739370191233848,,,,
2025-03-04 01:59,開倉,1.0,90145.15156749837,0.11862399852958332,90072.53783484452,1.1925610176529682,,,,
2025-03-04 02:14,開倉,1.0,89318.4377004,0.11960217707578641,90003.80246856155,1.3121631947287546,,,,
2025-03-04 02:44,平倉,,,,,,87444.580621608,-1.3121631947287546,3243.3751544480397,0.0
2025-04-07 09:14,開倉,-1.0,78767.49537304878,-0.17650781358232792,78767.49537304878,-0.17650781358232792,,,,
2025-04-07 09:29,開倉,-1.0,78964.19815,-0.1758921459117294,78865.67493468782,-0.35239995949405734,,,,
2025-04-07 09:44,開倉,-1.0,78648.50776304556,-0.17642165655494363,78793.22518791551,-0.5288216160490009,,,,
2025-04-07 09:59,開倉,-1.0,79084.8378,-0.17527293534836993,78865.81742485757,-0.7040945513973709,,,,
2025-04-07 10:14,開倉,-1.0,78956.20215,-0.17538301975950343,78883.84170035417,-0.8794775711568743,,,,
2025-04-07 10:29,開倉,-1.0,78571.09479999999,-0.1760664853105187,78831.6750028111,-1.055544056467393,,,,
2025-04-07 12:59,平倉,,,,,,77024.493,1.055544056467393,-1988.8629678106563,0.0
2025-04-07 17:44,開倉,-1.0,76576.48527033666,-0.15451272163638985,76576.48527033666,-0.15451272163638985,,,,
2025-04-07 18:14,開倉,-1.0,76897.54972446333,-0.15371380583244243,76736.60140169825,-0.3082265274688323,,,,
2025-04-07 18:29,開倉,-1.0,77152.8043,-0.1530521259668188,76874.6974049366,-0.4612786534356511,,,,
2025-04-07 18:59,開倉,-1.0,76918.5215,-0.1533648592802822,76885.6323225489,-0.6146435127159333,,,,
2025-04-07 19:14,開倉,-1.0,77078.67009675445,-0.15289323896189413,76924.08542655436,-0.7675367516778274,,,,
2025-04-07 19:29,開倉,-1.0,77038.8613,-0.15281934873102646,76943.1432393099,-0.9203561004088538,,,,
2025-04-07 19:44,開倉,-1.0,76555.30657609111,-0.15363091070714202,76887.66426315914,-1.073987011115996,,,,
2025-04-07 19:59,開倉,-1.0,76601.69017269112,-0.1533844235215071,76851.9261240998,-1.227371434637503,,,,
2025-04-07 20:14,開倉,-1.0,76686.51036204079,-0.15306163236743855,76833.58491860043,-1.3804330670049416,,,,
2025-04-07 21:59,平倉,,,,,,78298.499939536,1.3804330670049416,1914.1312968382802,0.0
2025-04-10 07:59,開倉,1.0,82638.31255146222,0.16521212014701872,82638.31255146222,0.16521212014701872,,,,
2025-04-10 08:14,開倉,1.0,82501.53014999999,0.1653204627835821,82569.8989333254,0.33053258293060084,,,,
2025-04-10 08:29,開倉,1.0,82439.09894999999,0.1652801317282147,82526.29650475728,0.49581271465881555,,,,
2025-04-10 08:44,開倉,1.0,82153.90935979666,0.16568794938888148,82433.0236393156,0.661500664047697,,,,
2025-04-10 08:59,開倉,1.0,82346.51472546221,0.16513502851587658,82415.74196120205,0.8266356925635736,,,,
2025-04-10 09:14,開倉,1.0,82525.242,0.16461253108676563,82433.92618399364,0.9912482236503393,,,,
2025-04-10 09:29,開倉,1.0,82426.5927,0.16464464972187554,82432.8816071724,1.1558928733722147,,,,
2025-04-10 09:44,開倉,1.0,82430.1440057655,0.16447283652542613,82432.54059478067,1.320365709897641,,,,
2025-04-10 09:59,開倉,1.0,82298.47891040763,0.16457114980475268,82417.68293575101,1.4849368597023935,,,,
2025-04-10 10:14,開倉,1.0,82511.9655873311,0.16398112053055147,82427.05912973886,1.648917980232945,,,,
2025-04-10 10:29,開倉,1.0,82491.92534999999,0.16385685443832815,82432.92239229525,1.812774834671273,,,,
2025-04-10 10:44,開倉,1.0,82355.15699999999,0.16396476274793897,82426.47198066069,1.9767395974192121,,,,
2025-04-10 10:59,開倉,1.0,82207.58325,0.16409476048091706,82409.69417919409,2.140834357900129,,,,
2025-04-10 11:14,開倉,1.0,81774.4506141311,0.16479887059241272,82364.2891161599,2.3056332284925416,,,,
2025-04-10 11:29,開倉,1.0,81664.1528706,0.1648563482998859,82317.5688604504,2.4704895767924273,,,,
2025-04-10 11:44,開倉,1.0,81723.74144999999,0.16457132535987798,82280.48168576953,2.6350609021523055,,,,
2025-04-10 11:59,開倉,1.0,81783.25523646221,0.16428703278942372,82251.3006550868,2.7993479349417294,,,,
2025-04-10 12:14,開倉,1.0,81707.13315,0.16427556776124208,82221.13709828755,2.9636235027029714,,,,
2025-04-10 12:44,開倉,1.0,81842.901,0.1638389686532305,82201.32237218981,3.127462471356202,,,,
2025-04-10 12:59,開倉,1.0,82028.3008536,0.16330511044373142,82192.73613888705,3.2907675817999333,,,,
