時間,狀態,多/空,進場價,進場量,當前均價,當前持倉量,出場價,出場量,實現損益,剩餘倉位
2025-01-20 11:29,開倉,-1.0,100231.1277062598,-0.09971952055943771,100231.1277062598,-0.09971952055943771,,,,
2025-01-20 11:44,開倉,-1.0,100409.57010000001,-0.09944281195065088,100320.22494257496,-0.19916233251008858,,,,
2025-01-20 12:59,平倉,,,,,,102520.23049799999,0.19916233251008858,417.740069718148,0.0
2025-01-27 20:59,開倉,-1.0,99949.85802658222,-0.10397774829181675,99949.85802658224,-0.10397774829181675,,,,
2025-01-27 21:29,開倉,-1.0,100386.6163826,-0.10342189216959431,100167.65192198024,-0.20739964046141107,,,,
2025-01-27 21:59,開倉,-1.0,100242.54480998222,-0.10346701444705314,100192.5788268204,-0.3108666549084642,,,,
2025-01-27 22:14,開倉,-1.0,100158.26240968352,-0.10345057883240982,100184.01038474955,-0.41431723374087404,,,,
2025-01-28 00:44,平倉,,,,,,100360.8911456689,0.41431723374087404,31.703500770841963,0.0
2025-02-26 04:29,開倉,-1.0,89726.5143,-0.11571564661399748,89726.5143,-0.11571564661399748,,,,
2025-02-26 04:44,開倉,-1.0,89805.71445789111,-0.11549804055362478,89766.07710945136,-0.23121368716762225,,,,
2025-02-26 07:14,平倉,,,,,,91291.4229,0.23121368716762225,331.5729979428757,0.0
2025-02-28 22:29,開倉,-1.0,81692.91586418221,-0.13089781348689444,81692.91586418221,-0.13089781348689444,,,,
2025-02-28 22:44,開倉,-1.0,81843.19126666334,-0.130526874884822,81767.94695164412,-0.26142468837171645,,,,
2025-02-28 22:59,開倉,-1.0,81751.15113198222,-0.13054322103416371,81762.35317637333,-0.39196790940588017,,,,
2025-02-28 23:14,開倉,-1.0,82868.3451,-0.12865457680603487,82035.66239111817,-0.5206224862119151,,,,
2025-03-01 01:44,平倉,,,,,,83747.84428453444,0.5206224862119151,847.7993832911015,0.0
2025-03-03 22:59,開倉,1.0,89527.47750139667,0.12855958278202162,89527.47750139667,0.12855958278202162,,,,
2025-03-03 23:59,開倉,1.0,90090.09560128237,0.12762889980749484,89807.76461022525,0.25618848258951643,,,,
2025-03-04 00:14,開倉,1.0,89894.94714439666,0.12777799310408347,89836.77758389706,0.3839664756935999,,,,
2025-03-04 00:29,開倉,1.0,90155.19560359667,0.1272816671324109,89916.05176212359,0.5112481428260107,,,,
2025-03-04 00:44,開倉,1.0,89882.45925913444,0.12754015466883772,89909.34469963709,0.6387882974948484,,,,
2025-03-04 00:59,開倉,1.0,89973.75128112384,0.12728327137962545,89920.04589352432,0.7660715688744739,,,,
2025-03-04 01:14,開倉,1.0,90097.83911746556,0.12698079814061114,89945.32585057266,0.8930523670150851,,,,
2025-03-04 01:29,開倉,1.0,90223.55794546555,0.12667699397222584,89979.88953654273,1.0197293609873108,,,,
2025-03-04 01:44,開倉,1.0,90750.41995593111,0.12581555157347477,90064.51713049955,1.1455449125607855,,,,
2025-03-04 01:59,開倉,1.0,90145.15156749837,0.12653360076376133,90072.53783484455,1.272078513324547,,,,
2025-03-04 02:14,開倉,1.0,89318.4377004,0.12757700222699958,90003.80246856158,1.3996555155515464,,,,
2025-03-04 02:44,平倉,,,,,,87444.580621608,-1.3996555155515464,3459.6366840364785,0.0
2025-03-04 17:14,開倉,-1.0,83742.9839618,-0.17709073792923066,83742.9839618,-0.17709073792923066,,,,
2025-03-04 19:44,平倉,,,,,,83776.2450111311,0.17709073792923066,-8.94577327961484,0.0
2025-03-04 20:59,開倉,-1.0,83728.1101058683,-0.17683837381858442,83728.1101058683,-0.17683837381858442,,,,
2025-03-04 23:29,平倉,,,,,,82213.02396899999,0.17683837381858442,-282.46378610425955,0.0
2025-03-05 00:59,開倉,-1.0,83324.38367775445,-0.17412935685505612,83324.38367775445,-0.17412935685505612,,,,
2025-03-05 01:44,平倉,,,,,,85075.90473935487,0.17412935685505612,290.17702339844016,0.0
2025-03-08 13:29,開倉,-1.0,86056.93627353667,-0.17180197144497963,86056.93627353667,-0.17180197144497963,,,,
